receiver_deployment_id,receiver_name,purchasing_organisation,receiver_project_name,receiver_status,receiver_deployment_datetime,installation_name,station_name,receiver_deployment_longitude,receiver_deployment_latitude,depth_below_surface,receiver_recovery_datetime,receiver_recovery_longitude,receiver_recovery_latitude,active
318536777,VR2AR-548795,The University of Queensland,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2024-11-08 05:10:00,Wenlock River,PM Mouth North AR,141.93668,-11.96253,8.0,2024-11-11 03:15:00,141.93668,-11.96253,NO
325325167,VR2AR-552756,University of the Sunshine Coast,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2024-04-30 18:41:00,Wenlock River,Andooma Jetty,141.81848,-12.61086,7.5,2024-11-16 23:43:00,141.81848,-12.61086,NO
326173843,VR2AR-552965,University of the Sunshine Coast,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2024-04-25 22:00:00,Wenlock River,Hey River upstream,141.90005,-12.81455,9.0,2024-11-17 02:45:00,141.90005,-12.81455,NO
325325196,VR2W-106886,IMOS Animal Tracking Facility,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2023-12-30 23:00:00,Wenlock River,Outer Anchorage Skardon Waverider,141.836783,-11.745633,13.0,2024-07-10 02:10:00,141.836783,-11.745633,NO
325325193,VR2W-106875,IMOS Animal Tracking Facility,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2023-12-30 22:00:00,Wenlock River,Old Offshore Anchorage Skardon Waverider,141.72065,-11.722667,20.999,2024-07-10 02:00:00,141.72065,-11.722667,NO
326173850,VR2W-101823,IMOS Animal Tracking Facility,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2023-12-13 20:00:00,Wenlock River,Boyd Point,141.647668,-12.901195,3.0,2024-12-12 00:00:00,141.647668,-12.901195,NO
325325220,VR2AR-552969,University of the Sunshine Coast,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2023-12-12 00:45:00,Wenlock River,Duyfken 40 mile reef,141.172633,-12.53485,34.3,2024-11-18 03:20:00,141.172633,-12.53485,NO
325325217,VR2AR-552970,University of the Sunshine Coast,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2023-12-11 22:13:00,Wenlock River,Duyfken Wreck,141.41225,-12.594517,33.3,2024-11-18 04:40:00,141.41225,-12.594517,NO
326175719,VR2AR-552967,University of the Sunshine Coast,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2023-11-13 02:30:00,Wenlock River,Hey Pt,141.89401,-12.72991,8.997,2024-11-17 01:45:00,141.89401,-12.72991,NO
325325160,VR2AR-552968,University of the Sunshine Coast,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2023-11-12 02:00:00,Wenlock River,Embley Shellbar,141.95235,-12.72758,8.0,2024-11-17 04:05:00,141.95235,-12.72758,NO
326173853,VR2AR-546488,The University of Queensland,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2023-11-12 01:00:00,Wenlock River,Jackson Channel,141.82396,-12.66689,9.0,2024-11-17 00:25:00,141.82396,-12.66689,NO
325325170,VR2AR-546493,The University of Queensland,"Wenlock River Array, Gulf of Carpentaria",DEPLOYED,2023-11-11 23:20:00,Wenlock River,Mission Bridge Rocky Pt,141.89166,-12.6016,7.5,,,,NO
326173856,VR2AR-552753,University of the Sunshine Coast,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2023-11-11 22:00:00,Wenlock River,Mission Bridge upstream,141.8972,-12.59614,6.978,2024-11-16 21:00:00,141.8972,-12.59614,NO
318536786,VR2AR-552752,University of the Sunshine Coast,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2023-11-10 02:30:00,Wenlock River,Skardon south AR,141.95734,-11.8007,7.0,2024-11-14 02:00:00,141.95734,-11.8007,NO
318536745,VR2AR-552749,University of the Sunshine Coast,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2023-11-10 00:50:00,Wenlock River,Namaleta Flats,141.98315,-12.02324,4.0,2024-11-12 03:25:00,141.98315,-12.02324,NO
318536834,VR2W-139425,University of the Sunshine Coast,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2023-11-09 04:45:00,Wenlock River,Pargon Creek mouth,142.04112,-12.00644,2.0,2024-11-13 03:40:00,142.04112,-12.00644,NO
318536831,VR2W-139828,University of the Sunshine Coast,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2023-11-09 04:30:00,Wenlock River,Pargon Creek northshore,142.03737,-11.99157,2.0,2024-11-13 03:20:00,142.03737,-11.99157,NO
318536819,VR2W-135698,The University of Queensland,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2023-11-09 04:05:00,Wenlock River,DUC2 2,142.07892,-11.98703,1.992,2024-11-13 02:55:00,142.07892,-11.98703,NO
318536810,VR2W-137826,University of the Sunshine Coast,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2023-11-09 03:30:00,Wenlock River,Dalhunty mouth,142.11223,-12.00561,2.0,2024-11-13 02:30:00,142.11223,-12.00561,NO
318536813,VR2W-138734,University of the Sunshine Coast,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2023-11-09 03:00:00,Wenlock River,Dalhunty twin creeks,142.14671,-11.97335,2.0,2024-11-13 01:15:00,142.14671,-11.97335,NO
406366674,VR2W-135695,The University of Queensland,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2023-11-09 02:30:00,Wenlock River,Dalhunty left,142.15456,-11.94787,2.0,2024-11-13 01:30:00,142.15456,-11.94787,NO
318536801,VR2W-135697,The University of Queensland,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2023-11-09 01:00:00,Wenlock River,South Alice,142.23012,-12.04688,2.0,2024-11-12 23:49:00,142.23012,-12.04688,NO
318536807,VR2W-135696,The University of Queensland,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2023-11-09 00:30:00,Wenlock River,No name creek,142.13786,-12.02338,2.0,2024-11-13 00:40:00,142.13786,-12.02338,NO
318536804,VR2W-138735,University of the Sunshine Coast,"Wenlock River Array, Gulf of Carpentaria",LOST,2023-11-09 00:00:00,Wenlock River,No name mouth,142.15257,-12.0203,1.997,2024-11-12 14:38:00,,,NO
318536780,VR2AR-552751,University of the Sunshine Coast,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2023-11-08 22:45:00,Wenlock River,Ducie to PM AR,142.01904,-12.05454,8.0,2024-11-12 04:01:00,142.01904,-12.05454,NO
318536837,VR2AR-552754,University of the Sunshine Coast,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2023-11-08 22:20:00,Wenlock River,PM Cullen AR,141.91116,-11.95843,11.0,2024-11-10 22:50:00,141.91116,-11.95843,NO
325325164,VR2AR-552755,University of the Sunshine Coast,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2023-11-08 05:01:00,Wenlock River,PM to Jaine AR,141.8763,-11.94042,5.5,2024-11-10 23:30:00,141.8763,-11.94042,NO
318536840,VR2AR-553928,University of the Sunshine Coast,"Wenlock River Array, Gulf of Carpentaria",RECOVERED,2023-11-08 03:25:00,Wenlock River,PM Ducie Namaleeda AR,141.93964,-11.99175,7.0,2024-11-11 04:05:00,141.93964,-11.99175,NO
